movie_id,movie_name,year,certificate,runtime,rating,description,director,actor,votes,gross_usd,genre
tt3483612,Hamari Adhuri Kahani,2015,Not Rated,129,6.7,"A single mother finds solace with a wealthy, but lonely hotel magnate, together they find love until her past comes back to confront her.",Mohit Suri,"Emraan Hashmi, 
Vidya Balan, 
Rajkummar Rao, 
Sara Khan",6374,235361.0,"Romance, Drama"
tt3017412,Happy Ending,2014,Not Rated,135,5.4,A confused writer goes on the search of inspiration for his next story and falls in love with a best seller author who doesn't believe in love.,"Krishna D.K., 
Raj Nidimoru","Saif Ali Khan, 
Ileana D'Cruz, 
Kalki Koechlin, 
Ranvir Shorey",3708,311729.0,"Romance, Comedy"
tt0239986,Sidewalks of New York,2001,R,108,6.4,The interlocking lives and loves of six New Yorkers.,Edward Burns,"Edward Burns, 
Heather Graham, 
Penny Balfour, 
Michael Leydon Campbell",6806,2402459.0,"Romance, Comedy"
tt0120531,Woo,1998,R,84,4.2,Gorgeous and extravert Woo meets insecure and straight-laced law clerk Tim at a blind date.,Daisy von Scherler Mayer,"Jada Pinkett Smith, 
Tommy Davidson, 
Duane Martin, 
Michael Ralph",2169,8026971.0,"Romance, Comedy"
tt1275863,Love Aaj Kal,2009,Not Rated,128,6.8,An old-fashioned romantic tells his personal love story to a modern man who has just broken up with his girlfriend. Has love really ever changed?,Imtiaz Ali,"Saif Ali Khan, 
Deepika Padukone, 
Rishi Kapoor, 
Rahul Khanna",16443,2425386.0,"Romance, Comedy, Drama"
tt0095530,Little Dorrit,1987,G,357,7.2,Arthur returns to London after working abroad for many years with his now deceased father. Almost at once he becomes involved in the problems of his mother's seamstress Amy and of her father residing in the Marshalsea debtors' prison.,Christine Edzard,"Derek Jacobi, 
Alec Guinness, 
Joan Greenwood, 
Max Wall",1175,1025228.0,"Romance, Drama"
tt0078034,The One and Only,1978,PG,97,5.8,"Henry Winkler portrays an outrageously self-confident but out-of-work actor, a young man who dreams of stardom and leaves college to pursue fame and fortune.",Carl Reiner,"Henry Winkler, 
Kim Darby, 
Gene Saks, 
William Daniels",871,16928137.0,"Romance, Comedy"
tt0108596,Wrestling Ernest Hemingway,1993,PG-13,123,7.0,"Two lonely, retired septuagenarians, an unkempt, hard-drinking Irish sea captain, and a fussy, well-mannered Cuban barber form an uneasy friendship.",Randa Haines,"Robert Duvall, 
Richard Harris, 
Shirley MacLaine, 
Sandra Bullock",3198,231700.0,"Romance, Drama"
tt0119717,Mr. Jealousy,1997,R,103,6.3,"A writer becomes obsessed with his girlfriend's former boyfriend, now a very successful novelist. To discover if the ex-boyfriend still has feeling for his old love, the writer joins the novelist's group therapy meetings.",Noah Baumbach,"Eric Stoltz, 
Annabella Sciorra, 
Chris Eigeman, 
Carlos Jacott",2430,287752.0,"Romance, Comedy"
tt0116606,If Lucy Fell,1996,R,92,4.9,Two NYC roommates have a pact to jump off Brooklyn Bridge if they haven't found life partners before she's 30. That's less than a month away.,Eric Schaeffer,"Sarah Jessica Parker, 
Eric Schaeffer, 
Ben Stiller, 
Elle Macpherson",4233,4635344.0,"Romance, Comedy"
tt0073107,Hester Street,1975,PG,89,7.0,"In 1896, a Russian Jewish woman immigrates to New York's Lower East Side to reunite with her Americanized husband, but has difficulty assimilating.",Joan Micklin Silver,"Steven Keats, 
Carol Kane, 
Mel Howard, 
Dorrie Kavanaugh",1543,5000000.0,"Romance, Drama"
